particle #,x,y,vx,vy,m,Omega,h,density,pressure,dvx/dt,dvy/dt,du/dt
particle 564,0.23,0.29,1.38809e-16,-3.85805e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.05391e-15,-1.24345e-14,-9.4325e-14
particle 565,0.23,0.31,-2.51831e-16,3.39298e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.28614e-15,-1.2898e-14,-8.8546e-14
particle 566,0.23,0.33,-8.37921e-18,2.00644e-17,0.43,0.991062,0.0240029,1074.74,716.491,4.26593e-18,2.16707e-15,5.1669e-14
particle 567,0.23,0.35,2.08569e-16,-3.45387e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.57887e-15,7.99361e-15,-8.26166e-14
particle 568,0.23,0.37,-2.88028e-16,3.44713e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.20044e-15,-8.4836e-15,-8.36724e-14
particle 569,0.23,0.39,9.08785e-18,4.56257e-17,0.43,0.991062,0.0240029,1074.74,716.491,-6.77144e-19,4.69035e-15,5.27658e-14
particle 570,0.23,0.41,2.08569e-16,-3.45387e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.57887e-15,7.99361e-15,-8.2391e-14
particle 571,0.23,0.43,-2.87735e-16,3.44838e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.19549e-15,-8.39786e-15,-8.41548e-14
particle 572,0.23,0.45,1.23603e-17,5.53203e-17,0.43,0.991062,0.0240029,1074.74,716.491,4.92922e-18,6.74707e-15,5.06555e-14
particle 573,0.23,0.47,1.86053e-16,-3.35907e-15,0.43,0.991062,0.0240029,1074.74,716.491,4.71845e-15,1.78746e-14,-9.24555e-14
particle 574,0.23,0.49,-1.2592e-16,4.08871e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.93638e-15,1.07798e-14,-1.02668e-13
particle 575,0.23,0.51,-6.94198e-17,1.24882e-15,0.43,0.991062,0.0240029,1074.74,716.491,4.81851e-15,-1.67421e-14,2.97205e-14
particle 576,0.23,0.53,-3.24107e-16,-3.85199e-16,0.43,0.991062,0.0240029,1074.74,716.491,6.91429e-17,-1.784e-14,3.97265e-14
particle 577,0.23,0.55,-1.91988e-16,-2.44907e-15,0.43,0.991062,0.0240029,1074.74,716.491,-4.18655e-15,3.8603e-15,6.25675e-14
particle 578,0.23,0.57,-1.4268e-16,-6.93334e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.13718e-15,-2.24126e-14,-1.67952e-13
particle 579,0.23,0.59,-2.38381e-16,6.96718e-15,0.43,0.991062,0.0240029,1074.74,716.491,-8.07827e-16,2.13426e-14,-1.69256e-13
particle 580,0.23,0.61,6.54649e-18,2.61189e-15,0.43,0.991062,0.0240029,1074.74,716.491,-5.8556e-15,4.31641e-15,5.98521e-14
particle 581,0.23,0.63,-1.31784e-16,5.63528e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.61125e-15,2.19023e-14,2.9653e-14
particle 582,0.23,0.65,-3.9385e-16,-5.00219e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.51422e-15,-1.5311e-14,2.88976e-14
particle 583,0.23,0.67,-1.33049e-16,-2.5558e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.94593e-15,-2.15338e-15,5.88193e-14
particle 584,0.23,0.69,-1.73887e-16,-6.92821e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.44329e-15,-2.24126e-14,-1.69547e-13
particle 585,0.23,0.71,-2.38381e-16,6.96718e-15,0.43,0.991062,0.0240029,1074.74,716.491,-8.07827e-16,2.13426e-14,-1.69312e-13
particle 586,0.23,0.73,6.54649e-18,2.61189e-15,0.43,0.991062,0.0240029,1074.74,716.491,-5.8556e-15,4.31641e-15,5.98553e-14
particle 587,0.23,0.75,-1.31784e-16,5.63528e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.61125e-15,2.19023e-14,2.9653e-14
particle 588,0.23,0.77,-3.9385e-16,-5.00219e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.51422e-15,-1.5311e-14,2.88976e-14
particle 589,0.23,0.79,-1.33049e-16,-2.5558e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.94593e-15,-2.15338e-15,5.88193e-14
particle 590,0.23,0.81,-1.73887e-16,-6.92821e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.44329e-15,-2.24126e-14,-1.69547e-13
particle 591,0.23,0.83,-2.38381e-16,6.96718e-15,0.43,0.991062,0.0240029,1074.74,716.491,-8.07833e-16,2.13426e-14,-1.69312e-13
particle 592,0.23,0.85,6.5446e-18,2.61189e-15,0.43,0.991062,0.0240029,1074.74,716.491,-5.8557e-15,4.31636e-15,5.98563e-14
particle 593,0.23,0.87,-1.31796e-16,5.63523e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.61031e-15,2.19018e-14,2.96791e-14
particle 594,0.23,0.89,-3.93874e-16,-5.00034e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.51287e-15,-1.527e-14,2.88795e-14
particle 595,0.23,0.91,-1.33239e-16,-2.5604e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.93873e-15,-5.48044e-15,5.83512e-14
particle 596,0.23,0.93,-1.28618e-16,-6.94369e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.46785e-15,-1.79995e-14,-1.6894e-13
particle 597,0.23,0.95,-3.09965e-16,6.85653e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.75728e-15,1.56082e-14,-1.68512e-13
particle 598,0.23,0.97,-2.62219e-16,2.40889e-15,0.43,0.991062,0.0240029,1074.74,716.491,-5.83222e-16,1.04066e-15,5.21498e-14
particle 599,0.23,0.99,-4.42391e-16,8.57854e-16,0.43,0.991062,0.0240029,1074.74,716.491,-4.44339e-15,3.5606e-14,1.83533e-14
particle 600,0.25,0.01,1.31845e-15,-3.4191e-16,0.43,0.991062,0.0240029,1074.74,716.491,-3.16896e-14,1.87869e-14,3.26776e-14
particle 601,0.25,0.03,1.30869e-15,-7.20869e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.5931e-14,8.82264e-15,1.01441e-14
particle 602,0.25,0.05,1.49598e-15,-3.99219e-16,0.43,0.991062,0.0240029,1074.74,716.491,-3.11845e-14,7.01464e-15,-9.34205e-15
particle 603,0.25,0.07,1.2343e-15,3.15792e-16,0.43,0.991062,0.0240029,1074.74,716.491,-3.91053e-14,-1.59999e-14,-3.83978e-15
particle 604,0.25,0.09,1.25252e-15,2.46331e-16,0.43,0.991062,0.0240029,1074.74,716.491,-3.09778e-14,-7.00959e-15,1.13181e-14
particle 605,0.25,0.11,1.20654e-15,1.19533e-16,0.43,0.991062,0.0240029,1074.74,716.491,-3.60605e-14,-3.36141e-15,1.28912e-14
particle 606,0.25,0.13,1.20714e-15,1.73833e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.63272e-14,-6.75208e-15,3.8763e-14
particle 607,0.25,0.15,1.34016e-15,-1.69078e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.17196e-14,7.02467e-15,1.26629e-14
particle 608,0.25,0.17,1.57504e-15,2.66757e-17,0.43,0.991062,0.0240029,1074.74,716.491,-1.69016e-14,-5.49481e-15,-2.98703e-14
particle 609,0.25,0.19,1.24348e-15,1.03967e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.33971e-14,-9.54752e-15,2.46023e-14
particle 610,0.25,0.21,1.06632e-15,-9.87184e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.46739e-14,1.42806e-14,2.66964e-14
particle 611,0.25,0.23,1.48328e-15,-6.88163e-17,0.43,0.991062,0.0240029,1074.74,716.491,-2.00199e-14,2.32742e-15,-2.66763e-14
particle 612,0.25,0.25,1.10516e-15,1.32926e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.93053e-14,-2.79337e-14,1.79104e-14
particle 613,0.25,0.27,1.00773e-15,-5.50516e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.78929e-14,-2.87198e-15,7.3766e-14
particle 614,0.25,0.29,1.45506e-15,-3.12713e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.66397e-14,9.74257e-16,-4.01933e-14
particle 615,0.25,0.31,1.78144e-15,2.85873e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.48838e-14,-1.76282e-14,-3.50494e-14
particle 616,0.25,0.33,1.34712e-15,8.90314e-18,0.43,0.991062,0.0240029,1074.74,716.491,-1.32698e-14,9.58456e-17,9.19006e-14
particle 617,0.25,0.35,1.59451e-15,-2.98373e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.15927e-14,1.4271e-14,-2.95397e-14
particle 618,0.25,0.37,1.81105e-15,2.86754e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.53894e-14,-1.41895e-14,-3.27191e-14
particle 619,0.25,0.39,1.34712e-15,5.98183e-18,0.43,0.991062,0.0240029,1074.74,716.491,-1.32693e-14,9.56477e-16,9.21284e-14
particle 620,0.25,0.41,1.5945e-15,-2.98381e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.15926e-14,1.4271e-14,-2.95318e-14
particle 621,0.25,0.43,1.81746e-15,2.87386e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.49418e-14,-1.31469e-14,-3.31518e-14
particle 622,0.25,0.45,1.35554e-15,2.55946e-17,0.43,0.991062,0.0240029,1074.74,716.491,-1.32126e-14,1.17912e-15,9.0368e-14
particle 623,0.25,0.47,1.59583e-15,-2.91307e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.43658e-14,1.838e-14,-3.88236e-14
particle 624,0.25,0.49,1.84602e-15,3.58096e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.32757e-14,7.29546e-15,-4.98739e-14
particle 625,0.25,0.51,1.29972e-15,1.04847e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.85363e-14,-1.82471e-14,6.69314e-14
particle 626,0.25,0.53,8.53783e-16,-4.98831e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.51181e-14,-2.08302e-14,7.00604e-14
particle 627,0.25,0.55,9.24002e-16,-2.41526e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.22206e-14,5.40428e-15,9.25779e-14
particle 628,0.25,0.57,1.17952e-15,-6.6387e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.70974e-14,-9.64506e-15,-1.29692e-13
particle 629,0.25,0.59,1.08788e-15,6.57301e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.90255e-14,1.05545e-14,-1.29885e-13
particle 630,0.25,0.61,1.03511e-15,2.54447e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.32703e-14,5.58716e-15,9.38776e-14
particle 631,0.25,0.63,1.06122e-15,5.64147e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.29607e-14,2.13406e-14,6.25058e-14
particle 632,0.25,0.65,9.02895e-16,-5.17727e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.55032e-14,-2.47698e-14,6.16076e-14
particle 633,0.25,0.67,8.9763e-16,-2.44852e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.79626e-14,-5.34933e-15,9.31569e-14
particle 634,0.25,0.69,1.17446e-15,-6.61831e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.88738e-14,-9.64506e-15,-1.29187e-13
particle 635,0.25,0.71,1.08788e-15,6.57301e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.90255e-14,1.05545e-14,-1.29575e-13
particle 636,0.25,0.73,1.03511e-15,2.54447e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.32703e-14,5.58716e-15,9.3896e-14
particle 637,0.25,0.75,1.06122e-15,5.64147e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.29607e-14,2.13406e-14,6.25058e-14
particle 638,0.25,0.77,9.02895e-16,-5.17727e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.55032e-14,-2.47698e-14,6.16076e-14
particle 639,0.25,0.79,8.9763e-16,-2.44852e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.79626e-14,-5.34933e-15,9.31569e-14
particle 640,0.25,0.81,1.17446e-15,-6.61831e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.88738e-14,-9.64506e-15,-1.29187e-13
particle 641,0.25,0.83,1.08788e-15,6.57301e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.90255e-14,1.05545e-14,-1.29574e-13
particle 642,0.25,0.85,1.03511e-15,2.54431e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.32703e-14,5.58717e-15,9.39052e-14
particle 643,0.25,0.87,1.06119e-15,5.64055e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.29615e-14,2.13125e-14,6.26064e-14
particle 644,0.25,0.89,9.00316e-16,-5.23441e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.55073e-14,-2.47996e-14,6.19378e-14
particle 645,0.25,0.91,9.4601e-16,-2.47556e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.40281e-14,-3.42371e-15,9.34262e-14
particle 646,0.25,0.93,1.25465e-15,-6.6259e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.89571e-14,-8.75688e-15,-1.27507e-13
particle 647,0.25,0.95,1.11096e-15,6.34588e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.18843e-14,8.73655e-15,-1.31314e-13
particle 648,0.25,0.97,9.48534e-16,2.40566e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.06956e-14,-6.07744e-15,8.23159e-14
particle 649,0.25,0.99,1.25326e-15,9.03909e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.46817e-14,4.16396e-14,5.43831e-14
particle 650,0.27,0.01,-6.41903e-16,-5.17828e-16,0.43,0.991062,0.0240029,1074.74,716.491,-9.71445e-16,1.83881e-14,8.64399e-14
particle 651,0.27,0.03,-7.69019e-16,-6.8417e-16,0.43,0.991062,0.0240029,1074.74,716.491,-3.16414e-15,7.72993e-15,6.71302e-14
particle 652,0.27,0.05,-6.08563e-16,-4.78405e-16,0.43,0.991062,0.0240029,1074.74,716.491,5.4956e-15,-5.00988e-15,5.26479e-14
particle 653,0.27,0.07,-5.41252e-16,2.34285e-16,0.43,0.991062,0.0240029,1074.74,716.491,8.32667e-17,-1.80966e-14,5.37124e-14
particle 654,0.27,0.09,-5.53419e-16,2.8382e-16,0.43,0.991062,0.0240029,1074.74,716.491,-4.996e-16,-4.45477e-15,6.34227e-14
particle 655,0.27,0.11,-5.36354e-16,2.05962e-16,0.43,0.991062,0.0240029,1074.74,716.491,3.19189e-15,-2.40086e-15,6.55453e-14
particle 656,0.27,0.13,-8.20056e-16,2.01854e-17,0.43,0.991062,0.0240029,1074.74,716.491,-8.32667e-17,1.20737e-15,8.81448e-14
particle 657,0.27,0.15,-7.20037e-16,-1.37035e-15,0.43,0.991062,0.0240029,1074.74,716.491,4.77396e-15,9.08995e-15,6.62822e-14
particle 658,0.27,0.17,-7.61277e-16,-1.2127e-17,0.43,0.991062,0.0240029,1074.74,716.491,-6.21725e-15,-7.13318e-15,3.34424e-14
particle 659,0.27,0.19,-6.8812e-16,7.46227e-16,0.43,0.991062,0.0240029,1074.74,716.491,-5.60663e-15,-1.58484e-14,7.92453e-14
particle 660,0.27,0.21,-8.09548e-16,-8.5221e-16,0.43,0.991062,0.0240029,1074.74,716.491,-6.68909e-15,1.57235e-14,7.6441e-14
particle 661,0.27,0.23,-7.09609e-16,8.91159e-17,0.43,0.991062,0.0240029,1074.74,716.491,-8.43769e-15,2.47025e-15,3.43939e-14
particle 662,0.27,0.25,-6.23258e-16,1.17087e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.27356e-16,-3.22797e-14,7.42654e-14
particle 663,0.27,0.27,-4.87056e-16,-5.77871e-16,0.43,0.991062,0.0240029,1074.74,716.491,5.88418e-15,8.04912e-15,1.18876e-13
particle 664,0.27,0.29,-6.96573e-16,-2.56449e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.30451e-15,1.38223e-14,1.96019e-14
particle 665,0.27,0.31,-5.40304e-16,2.53364e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.2474e-15,-1.76248e-14,3.19856e-14
particle 666,0.27,0.33,-4.83343e-16,-1.13449e-16,0.43,0.991062,0.0240029,1074.74,716.491,6.52256e-15,-6.10623e-16,1.41892e-13
particle 667,0.27,0.35,-6.66868e-16,-2.4779e-15,0.43,0.991062,0.0240029,1074.74,716.491,-6.93889e-16,2.09693e-14,2.96586e-14
particle 668,0.27,0.37,-5.04911e-16,2.5415e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.2474e-15,-1.69725e-14,3.37279e-14
particle 669,0.27,0.39,-4.83343e-16,-1.13449e-16,0.43,0.991062,0.0240029,1074.74,716.491,6.52256e-15,-6.10623e-16,1.42175e-13
particle 670,0.27,0.41,-6.66868e-16,-2.48802e-15,0.43,0.991062,0.0240029,1074.74,716.491,-6.93889e-16,2.09693e-14,2.95651e-14
particle 671,0.27,0.43,-5.02383e-16,2.54375e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.2474e-15,-1.68199e-14,3.32038e-14
particle 672,0.27,0.45,-4.65646e-16,-8.08205e-17,0.43,0.991062,0.0240029,1074.74,716.491,6.52256e-15,4.16334e-16,1.40572e-13
particle 673,0.27,0.47,-6.54859e-16,-2.38847e-15,0.43,0.991062,0.0240029,1074.74,716.491,4.7462e-15,2.45776e-14,2.26906e-14
particle 674,0.27,0.49,-4.86029e-16,3.04783e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.27676e-15,2.05391e-15,1.81298e-14
particle 675,0.27,0.51,-5.90314e-16,9.34729e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.71845e-16,-1.43774e-14,1.17068e-13
particle 676,0.27,0.53,-7.16798e-16,-5.18144e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.83107e-15,-2.62568e-14,1.14961e-13
particle 677,0.27,0.55,-4.14926e-16,-2.48841e-15,0.43,0.991062,0.0240029,1074.74,716.491,-5.82867e-16,-4.51028e-15,1.41634e-13
particle 678,0.27,0.57,-4.77023e-16,-6.50293e-15,0.43,0.991062,0.0240029,1074.74,716.491,-8.32667e-15,-5.57887e-15,-7.69375e-14
particle 679,0.27,0.59,-6.43325e-16,6.49274e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.09635e-14,1.11855e-14,-8.07302e-14
particle 680,0.27,0.61,-5.20475e-16,2.50674e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.71765e-15,8.61811e-15,1.38871e-13
particle 681,0.27,0.63,-6.77612e-16,4.94719e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.08247e-15,1.39194e-14,1.05518e-13
particle 682,0.27,0.65,-9.15887e-16,-4.70465e-16,0.43,0.991062,0.0240029,1074.74,716.491,-5.93969e-15,-1.7028e-14,1.05681e-13
particle 683,0.27,0.67,-5.24899e-16,-2.47925e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.63758e-15,-5.84255e-15,1.42245e-13
particle 684,0.27,0.69,-5.22529e-16,-6.49282e-15,0.43,0.991062,0.0240029,1074.74,716.491,-6.55032e-15,-5.57887e-15,-7.65741e-14
particle 685,0.27,0.71,-6.43325e-16,6.49274e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.09635e-14,1.11855e-14,-8.04976e-14
particle 686,0.27,0.73,-5.20475e-16,2.50674e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.71765e-15,8.61811e-15,1.38883e-13
particle 687,0.27,0.75,-6.77612e-16,4.94719e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.08247e-15,1.39194e-14,1.05518e-13
particle 688,0.27,0.77,-9.15887e-16,-4.70465e-16,0.43,0.991062,0.0240029,1074.74,716.491,-5.93969e-15,-1.7028e-14,1.05681e-13
particle 689,0.27,0.79,-5.24899e-16,-2.47925e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.63758e-15,-5.84255e-15,1.42245e-13
particle 690,0.27,0.81,-5.22529e-16,-6.49282e-15,0.43,0.991062,0.0240029,1074.74,716.491,-6.55032e-15,-5.57887e-15,-7.65741e-14
particle 691,0.27,0.83,-6.43325e-16,6.49274e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.09635e-14,1.11855e-14,-8.04955e-14
particle 692,0.27,0.85,-5.20475e-16,2.50666e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.71765e-15,8.61811e-15,1.389e-13
particle 693,0.27,0.87,-6.77612e-16,4.93376e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.08247e-15,1.38917e-14,1.05636e-13
particle 694,0.27,0.89,-9.18415e-16,-4.80341e-16,0.43,0.991062,0.0240029,1074.74,716.491,-5.93969e-15,-1.80272e-14,1.06133e-13
particle 695,0.27,0.91,-5.28691e-16,-2.49165e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.19349e-15,-5.92582e-15,1.43294e-13
particle 696,0.27,0.93,-4.71334e-16,-6.51051e-15,0.43,0.991062,0.0240029,1074.74,716.491,-8.54872e-15,-5.88418e-15,-7.46594e-14
particle 697,0.27,0.95,-6.09116e-16,6.36163e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.00753e-14,8.53484e-15,-8.17491e-14
particle 698,0.27,0.97,-3.45956e-16,2.56394e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.57727e-15,4.81559e-15,1.3463e-13
particle 699,0.27,0.99,-5.90946e-16,7.3169e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.15463e-14,3.43892e-14,1.10139e-13
particle 700,0.29,0.01,-3.09472e-15,-1.52951e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.83107e-15,1.56125e-14,-3.07625e-14
particle 701,0.29,0.03,-3.35425e-15,-6.40599e-16,0.43,0.991062,0.0240029,1074.74,716.491,-4.13558e-15,1.22541e-14,-5.11968e-14
particle 702,0.29,0.05,-3.43017e-15,-3.70171e-16,0.43,0.991062,0.0240029,1074.74,716.491,8.02136e-15,2.16632e-14,-6.72142e-14
particle 703,0.29,0.07,-3.12964e-15,2.70705e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.385e-14,-2.58543e-14,-5.72011e-14
particle 704,0.29,0.09,-2.9665e-15,1.03692e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.9976e-15,-7.38298e-15,-4.30693e-14
particle 705,0.29,0.11,-3.02354e-15,1.88818e-17,0.43,0.991062,0.0240029,1074.74,716.491,-2.77556e-15,-6.71685e-15,-4.62477e-14
particle 706,0.29,0.13,-3.21117e-15,1.35333e-16,0.43,0.991062,0.0240029,1074.74,716.491,-7.74381e-15,-2.27596e-15,-2.85207e-14
particle 707,0.29,0.15,-3.27975e-15,-1.5809e-15,0.43,0.991062,0.0240029,1074.74,716.491,-5.93969e-15,6.00908e-15,-5.53842e-14
particle 708,0.29,0.17,-3.4816e-15,2.489e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.41553e-14,-3.38618e-15,-9.21136e-14
particle 709,0.29,0.19,-3.13825e-15,1.00599e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.94289e-16,-1.03528e-14,-3.63112e-14
particle 710,0.29,0.21,-3.40007e-15,-1.25284e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.77636e-15,6.18949e-15,-4.37584e-14
particle 711,0.29,0.23,-3.6114e-15,2.25041e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.08247e-14,1.19349e-15,-9.38898e-14
particle 712,0.29,0.25,-3.23187e-15,1.4874e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.33147e-15,-1.83742e-14,-3.79702e-14
particle 713,0.29,0.27,-2.69433e-15,-6.4609e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.35447e-14,6.73073e-15,1.60541e-14
particle 714,0.29,0.29,-3.46865e-15,-3.17633e-15,0.43,0.991062,0.0240029,1074.74,716.491,-5.55112e-17,-2.1233e-15,-1.04513e-13
particle 715,0.29,0.31,-3.55942e-15,3.12249e-15,0.43,0.991062,0.0240029,1074.74,716.491,-9.96425e-15,-8.59035e-15,-9.32714e-14
particle 716,0.29,0.33,-2.76156e-15,-4.98512e-17,0.43,0.991062,0.0240029,1074.74,716.491,1.29896e-14,-4.996e-16,3.4418e-14
particle 717,0.29,0.35,-3.32707e-15,-3.10045e-15,0.43,0.991062,0.0240029,1074.74,716.491,-8.04912e-15,5.80092e-15,-9.26381e-14
particle 718,0.29,0.37,-3.56132e-15,3.1183e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.01863e-14,-6.75848e-15,-9.0321e-14
particle 719,0.29,0.39,-2.76156e-15,-6.50198e-17,0.43,0.991062,0.0240029,1074.74,716.491,1.29896e-14,-4.996e-16,3.48441e-14
particle 720,0.29,0.41,-3.32707e-15,-3.10045e-15,0.43,0.991062,0.0240029,1074.74,716.491,-8.04912e-15,5.80092e-15,-9.27658e-14
particle 721,0.29,0.43,-3.56132e-15,3.1185e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.01863e-14,-6.7446e-15,-9.06384e-14
particle 722,0.29,0.45,-2.75019e-15,-3.60256e-17,0.43,0.991062,0.0240029,1074.74,716.491,9.4369e-15,4.02456e-15,3.33707e-14
particle 723,0.29,0.47,-3.32146e-15,-3.00861e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.96985e-15,1.39749e-14,-9.91121e-14
particle 724,0.29,0.49,-3.60674e-15,3.36432e-15,0.43,0.991062,0.0240029,1074.74,716.491,-7.27196e-15,4.03844e-15,-1.11586e-13
particle 725,0.29,0.51,-3.07371e-15,8.61414e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.27436e-15,-2.05252e-14,-1.97748e-16
particle 726,0.29,0.53,-2.98475e-15,-2.05014e-16,0.43,0.991062,0.0240029,1074.74,716.491,5.55112e-16,-2.21767e-14,9.4423e-15
particle 727,0.29,0.55,-2.65183e-15,-2.11899e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.11022e-14,3.88578e-16,5.18891e-14
particle 728,0.29,0.57,-2.96689e-15,-7.22076e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.04992e-15,-2.158e-14,-1.76488e-13
particle 729,0.29,0.59,-2.85921e-15,6.69637e-15,0.43,0.991062,0.0240029,1074.74,716.491,-7.49401e-16,2.32314e-14,-1.85253e-13
particle 730,0.29,0.61,-2.63721e-15,2.21285e-15,0.43,0.991062,0.0240029,1074.74,716.491,6.99441e-15,-1.45717e-15,4.00199e-14
particle 731,0.29,0.63,-2.96215e-15,2.29742e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.21645e-16,1.61815e-14,-8.22518e-15
particle 732,0.29,0.65,-3.17309e-15,2.70587e-17,0.43,0.991062,0.0240029,1074.74,716.491,-2.55351e-15,-2.30788e-14,-6.66579e-15
particle 733,0.29,0.67,-2.6316e-15,-2.0155e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.11022e-14,3.02536e-15,5.07943e-14
particle 734,0.29,0.69,-2.96689e-15,-7.19042e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.04992e-15,-1.80272e-14,-1.76027e-13
particle 735,0.29,0.71,-2.85985e-15,6.69649e-15,0.43,0.991062,0.0240029,1074.74,716.491,-9.71445e-16,2.32731e-14,-1.84986e-13
particle 736,0.29,0.73,-2.63721e-15,2.21285e-15,0.43,0.991062,0.0240029,1074.74,716.491,6.99441e-15,-1.45717e-15,4.00373e-14
particle 737,0.29,0.75,-2.96215e-15,2.29742e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.21645e-16,1.61815e-14,-8.22518e-15
particle 738,0.29,0.77,-3.17309e-15,2.70587e-17,0.43,0.991062,0.0240029,1074.74,716.491,-2.55351e-15,-2.30788e-14,-6.66579e-15
